# Glasser HCP-MMP1 FreeSurfer Color LUT
# Compatible with freeview -l and FreeSurferColorLUT format
# LH parcels: 1001-1180, RH parcels: 2001-2180
#
# ID  Name  R  G  B  A
2062   R_d32_ROI                                     109  46  65   0
2063   R_8BM_ROI                                     130  82  92   0
2064   R_p32_ROI                                     112  55  80   0
2065   R_10r_ROI                                      26   4   8   0
2066   R_47m_ROI                                      79  52  50   0
2067   R_8Av_ROI                                      79  68  65   0
2068   R_8Ad_ROI                                      55  62  44   0
2069   R_9m_ROI                                       43  25  19   0
2070   R_8BL_ROI                                      35  36  22   0
2071   R_9p_ROI                                       62  53  49   0
2072   R_10d_ROI                                      28  23  18   0
2073   R_8C_ROI                                      119  89  94   0
2074   R_44_ROI                                      137 102  94   0
2075   R_45_ROI                                       91  66  57   0
2076   R_47l_ROI                                      51  26  27   0
2077   R_a47r_ROI                                     82  70  69   0
2078   R_6r_ROI                                      191 215 163   0
2079   R_IFJa_ROI                                    138 123 104   0
2080   R_IFJp_ROI                                    130 156 136   0
2081   R_IFSp_ROI                                    124 112 111   0
2082   R_IFSa_ROI                                    212 214 196   0
2083   R_p9-46v_ROI                                  149 143 137   0
2084   R_46_ROI                                      193 213 191   0
2085   R_a9-46v_ROI                                  177 134 155   0
2086   R_9-46d_ROI                                   160 135 151   0
2087   R_9a_ROI                                       64  55  55   0
2088   R_10v_ROI                                       0  18   4   0
2089   R_a10p_ROI                                    104  91 112   0
2090   R_10pp_ROI                                     42  49  51   0
2091   R_11l_ROI                                     106  98 108   0
2092   R_13l_ROI                                      95  85  88   0
2093   R_OFC_ROI                                      41  38  36   0
2094   R_47s_ROI                                      65  37  38   0
2095   R_LIPd_ROI                                    145 187 199   0
2096   R_6a_ROI                                      119 200 143   0
2097   R_i6-8_ROI                                    107 122 107   0
2098   R_s6-8_ROI                                     99  93  83   0
2099   R_43_ROI                                      160 141  69   0
2100   R_OP4_ROI                                     119 163  49   0
2101   R_OP1_ROI                                      94 154  36   0
2102   R_OP2-3_ROI                                   137 130  53   0
2103   R_52_ROI                                      198  69  61   0
2104   R_RI_ROI                                      167  86  44   0
2105   R_PFcm_ROI                                    181 153  90   0
2106   R_PoI2_ROI                                    126 126  86   0
2107   R_TA2_ROI                                     137  43  34   0
2108   R_FOP4_ROI                                    204 158 148   0
2109   R_MI_ROI                                      169 130 118   0
2110   R_Pir_ROI                                      52  65  75   0
2111   R_AVI_ROI                                     155  81  96   0
2112   R_AAIC_ROI                                     78  42  53   0
2113   R_FOP1_ROI                                    161 141  91   0
2114   R_FOP3_ROI                                    186 146 113   0
2115   R_FOP2_ROI                                     97 163  54   0
2116   R_PFt_ROI                                     104 209 117   0
2117   R_AIP_ROI                                     132 228 172   0
2118   R_EC_ROI                                       44  51  38   0
2119   R_PreS_ROI                                     83  62  90   0
2120   R_H_ROI                                        59  61  44   0
2121   R_ProS_ROI                                     85  73 178   0
2122   R_PeEc_ROI                                     52  63  51   0
2123   R_STGa_ROI                                     51  50  31   0
2124   R_PBelt_ROI                                   192  29  10   0
2125   R_A5_ROI                                      110  39   3   0
2126   R_PHA1_ROI                                     60  62  78   0
2127   R_PHA3_ROI                                     76 106 114   0
2128   R_STSda_ROI                                    70  56  40   0
2129   R_STSdp_ROI                                    93  58  48   0
2130   R_STSvp_ROI                                    89  49  61   0
2131   R_TGd_ROI                                      31  38  28   0
2132   R_TE1a_ROI                                      7  12   0   0
2133   R_TE1p_ROI                                    105 109 104   0
2134   R_TE2a_ROI                                     65  63  59   0
2135   R_TF_ROI                                       59  81  64   0
2136   R_TE2p_ROI                                     95 134 120   0
2137   R_PHT_ROI                                     194 250 212   0
2138   R_PH_ROI                                       70 144 166   0
2139   R_TPOJ1_ROI                                   126 100  82   0
2140   R_TPOJ2_ROI                                   138 176 143   0
2141   R_TPOJ3_ROI                                    97 155 140   0
2142   R_DVT_ROI                                     125 137 203   0
2143   R_PGp_ROI                                     144 214 221   0
2144   R_IP2_ROI                                     185 181 181   0
2145   R_IP1_ROI                                     124 123 129   0
2146   R_IP0_ROI                                     107 179 215   0
2147   R_PFop_ROI                                    170 201 136   0
2148   R_PF_ROI                                      255 255 221   0
2149   R_PFm_ROI                                     160 124 134   0
2150   R_PGi_ROI                                      54  62  49   0
2151   R_PGs_ROI                                      89  79  76   0
2152   R_V6A_ROI                                      50 100 170   0
2153   R_VMV1_ROI                                     51  76 166   0
2154   R_VMV3_ROI                                     42  69 171   0
2155   R_PHA2_ROI                                     74 102  97   0
2156   R_V4t_ROI                                      13 105 128   0
2157   R_FST_ROI                                      73 164 149   0
2158   R_V3CD_ROI                                     22  73 204   0
2159   R_LO3_ROI                                      56 109 170   0
2160   R_VMV2_ROI                                     59  76 173   0
2161   R_31pd_ROI                                     78  27  60   0
2162   R_31a_ROI                                     141 107 134   0
2163   R_VVC_ROI                                      53  80 135   0
2164   R_25_ROI                                       26  19  12   0
2165   R_s32_ROI                                      27  19   9   0
2166   R_pOFC_ROI                                     77  53  61   0
2167   R_PoI1_ROI                                    166 107 103   0
2168   R_Ig_ROI                                      108 130  41   0
2169   R_FOP5_ROI                                    184 106 119   0
2170   R_p10p_ROI                                     92  70  83   0
2171   R_p47r_ROI                                    149 122 122   0
2172   R_TGv_ROI                                      56  65  54   0
2173   R_MBelt_ROI                                   188  17  26   0
2174   R_LBelt_ROI                                   216  24  28   0
2175   R_A4_ROI                                      150  40   8   0
2176   R_STSva_ROI                                    49  40  35   0
2177   R_TE1m_ROI                                     82  54  59   0
2178   R_PI_ROI                                      129  59  62   0
2179   R_a32pr_ROI                                   152  81 109   0
2180   R_p24_ROI                                     122  44  81   0
